,SB_UID,SG_ID_y,OBSPROJECT_UID_y
108,uid://A001/X12a/X581,uid://A001/X112/X3f1_1,uid://A001/X112/X3f1
109,uid://A001/X12a/X119e,uid://A001/X10f/X908_1,uid://A001/X10f/X908
110,uid://A001/X12a/X193,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
111,uid://A001/X12a/X190,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
112,uid://A001/X12a/X191,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
113,uid://A001/X12a/X192,uid://A001/X10c/X14c_1,uid://A001/X10c/X14c
114,uid://A001/X12a/X19a2,uid://A001/X10b/X6f_4,uid://A001/X10b/X6f
115,uid://A001/X12a/X1254,uid://A001/X112/X414_4,uid://A001/X112/X414
116,uid://A001/X12a/X1bf5,uid://A001/X10e/X67_1,uid://A001/X10e/X67
119,uid://A001/X12a/X1bf4,uid://A001/X10e/X67_2,uid://A001/X10e/X67
120,uid://A001/X12a/X9bd,uid://A001/X10e/X33c_1,uid://A001/X10e/X33c
121,uid://A001/X12a/X122f,uid://A001/X112/Xec_3,uid://A001/X112/Xec
122,uid://A001/X12a/X9a3,uid://A001/X10f/X2f2_2,uid://A001/X10f/X2f2
123,uid://A001/X12a/X658,uid://A001/X10f/X232_1,uid://A001/X10f/X232
124,uid://A001/X12a/X1441,uid://A001/X10f/X555_1,uid://A001/X10f/X555
125,uid://A001/X12a/Xad6,uid://A001/X110/X2b8_1,uid://A001/X110/X2b8
126,uid://A001/X12a/Xad4,uid://A001/X110/X2b8_1,uid://A001/X110/X2b8
127,uid://A001/X12a/Xad5,uid://A001/X110/X2b8_1,uid://A001/X110/X2b8
128,uid://A001/X12a/X9a6,uid://A001/X10f/X2f2_5,uid://A001/X10f/X2f2
129,uid://A001/X12a/X1335,uid://A001/X113/X276_2,uid://A001/X113/X276
130,uid://A001/X12a/X57,uid://A001/X10f/X159_2,uid://A001/X10f/X159
131,uid://A001/X12a/X1226,uid://A001/X106/X26_5,uid://A001/X106/X26
132,uid://A001/X12a/X93d,uid://A001/X10d/Xd_3,uid://A001/X10d/Xd
133,uid://A001/X12a/X122d,uid://A001/X112/Xec_1,uid://A001/X112/Xec
134,uid://A001/X12a/Xc02,uid://A001/X10f/X386_3,uid://A001/X10f/X386
135,uid://A001/X12a/X11f7,uid://A001/X113/Xd5_1,uid://A001/X113/Xd5
136,uid://A001/X12a/X187,uid://A001/X10c/X146_1,uid://A001/X10c/X146
137,uid://A001/X12a/X176a,uid://A001/X110/X81_1,uid://A001/X110/X81
138,uid://A001/X12a/X619,uid://A001/X10e/X6e8_4,uid://A001/X10e/X6e8
139,uid://A001/X12a/Xb9e,uid://A001/X10f/X358_2,uid://A001/X10f/X358
140,uid://A001/X12a/X817,uid://A001/X110/X240_1,uid://A001/X110/X240
141,uid://A001/X12a/X197a,uid://A001/X10f/X951_1,uid://A001/X10f/X951
142,uid://A001/X12a/Xbfd,uid://A001/X10f/X37f_5,uid://A001/X10f/X37f
143,uid://A001/X12a/X65b,uid://A001/X10f/X232_4,uid://A001/X10f/X232
144,uid://A001/X12a/X1af4,uid://A001/X10e/X615_2,uid://A001/X10e/X615
145,uid://A001/X12a/X1af3,uid://A001/X10e/X615_2,uid://A001/X10e/X615
146,uid://A001/X12a/X1af2,uid://A001/X10e/X615_2,uid://A001/X10e/X615
147,uid://A001/X12a/X1a64,uid://A001/X113/X62c_4,uid://A001/X113/X62c
148,uid://A001/X12a/X1a63,uid://A001/X113/X62c_4,uid://A001/X113/X62c
149,uid://A001/X12a/X1a65,uid://A001/X113/X62c_4,uid://A001/X113/X62c
150,uid://A001/X12a/X166,uid://A001/X10f/X7d9_2,uid://A001/X10f/X7d9
151,uid://A001/X12a/X18b8,uid://A001/X112/X330_1,uid://A001/X112/X330
152,uid://A001/X12a/X18b9,uid://A001/X112/X330_1,uid://A001/X112/X330
153,uid://A001/X12a/X18ba,uid://A001/X112/X330_1,uid://A001/X112/X330
154,uid://A001/X12a/X1bff,uid://A001/X10e/X76_1,uid://A001/X10e/X76
155,uid://A001/X12a/X1bfe,uid://A001/X10e/X76_1,uid://A001/X10e/X76
156,uid://A001/X12a/X534,uid://A001/X10e/X6b3_1,uid://A001/X10e/X6b3
157,uid://A001/X12a/Xc47,uid://A001/X10f/X868_1,uid://A001/X10f/X868
158,uid://A001/X12a/X18a0,uid://A001/X112/X2fa_1,uid://A001/X112/X2fa
159,uid://A001/X12a/Xec3,uid://A001/X10d/X5c_4,uid://A001/X10d/X5c
160,uid://A001/X12a/X1709,uid://A001/X111/X75_3,uid://A001/X111/X75
161,uid://A001/X12a/X1256,uid://A001/X112/X414_6,uid://A001/X112/X414
162,uid://A001/X12a/X10f4,uid://A001/X10d/X7c_1,uid://A001/X10d/X7c
163,uid://A001/X12a/X6ae,uid://A001/X110/X1b1_1,uid://A001/X110/X1b1
164,uid://A001/X12a/X19a1,uid://A001/X10b/X6f_3,uid://A001/X10b/X6f
165,uid://A001/X12a/X18a1,uid://A001/X112/X2fa_2,uid://A001/X112/X2fa
166,uid://A001/X12a/X65a,uid://A001/X10f/X232_3,uid://A001/X10f/X232
167,uid://A001/X12a/X1af0,uid://A001/X10e/X615_1,uid://A001/X10e/X615
168,uid://A001/X12a/X1aef,uid://A001/X10e/X615_1,uid://A001/X10e/X615
169,uid://A001/X12a/X1aee,uid://A001/X10e/X615_1,uid://A001/X10e/X615
170,uid://A001/X12a/X1af1,uid://A001/X10e/X615_1,uid://A001/X10e/X615
171,uid://A001/X12a/X19f1,uid://A001/X112/X54b_1,uid://A001/X112/X54b
172,uid://A001/X12a/X1230,uid://A001/X112/Xec_4,uid://A001/X112/Xec
173,uid://A001/X12a/Xa5b,uid://A001/X10e/X945_2,uid://A001/X10e/X945
174,uid://A001/X12a/X9a7,uid://A001/X10f/X2f2_6,uid://A001/X10f/X2f2
175,uid://A001/X12a/X165,uid://A001/X10f/X7d9_1,uid://A001/X10f/X7d9
176,uid://A001/X12a/Xb9d,uid://A001/X10f/X358_1,uid://A001/X10f/X358
177,uid://A001/X12a/X6c0,uid://A001/X110/X1bf_1,uid://A001/X110/X1bf
178,uid://A001/X12a/X11a0,uid://A001/X10f/X908_3,uid://A001/X10f/X908
179,uid://A001/X12a/X80d,uid://A001/X111/X26e_1,uid://A001/X111/X26e
180,uid://A001/X12a/X4a,uid://A001/X10b/X47_2,uid://A001/X10b/X47
181,uid://A001/X12a/Xef8,uid://A001/X10c/Xc7_1,uid://A001/X10c/Xc7
182,uid://A001/X12a/Xbe9,uid://A001/X10e/X3bf_1,uid://A001/X10e/X3bf
183,uid://A001/X12a/X19c7,uid://A001/X113/X56c_2,uid://A001/X113/X56c
184,uid://A001/X12a/X1811,uid://A001/X10f/X789_6,uid://A001/X10f/X789
185,uid://A001/X12a/X1812,uid://A001/X10f/X789_6,uid://A001/X10f/X789
186,uid://A001/X12a/X1813,uid://A001/X10f/X789_6,uid://A001/X10f/X789
187,uid://A001/X12a/Xb3e,uid://A001/X10f/X6d9_2,uid://A001/X10f/X6d9
188,uid://A001/X12a/Xa5a,uid://A001/X10e/X945_1,uid://A001/X10e/X945
189,uid://A001/X12a/Xf33,uid://A001/X10c/Xd7_1,uid://A001/X10c/Xd7
190,uid://A001/X12a/Xc01,uid://A001/X10f/X386_2,uid://A001/X10f/X386
191,uid://A001/X12a/Xec2,uid://A001/X10d/X5c_3,uid://A001/X10d/X5c
192,uid://A001/X12a/X617,uid://A001/X10e/X6e8_2,uid://A001/X10e/X6e8
193,uid://A001/X12a/Xc8b,uid://A001/X10f/X3ad_2,uid://A001/X10f/X3ad
194,uid://A001/X12a/X813,uid://A001/X10e/X2ba_1,uid://A001/X10e/X2ba
195,uid://A001/X12a/X1b7d,uid://A001/X10e/X96_1,uid://A001/X10e/X96
196,uid://A001/X12a/X24c,uid://A001/X111/Xe6_2,uid://A001/X111/Xe6
197,uid://A001/X12a/X24e,uid://A001/X111/Xe6_2,uid://A001/X111/Xe6
198,uid://A001/X12a/X24d,uid://A001/X111/Xe6_2,uid://A001/X111/Xe6
199,uid://A001/X12a/X1157,uid://A001/X113/X2e_2,uid://A001/X113/X2e
200,uid://A001/X12a/Xf38,uid://A001/X10c/Xd7_4,uid://A001/X10c/Xd7
201,uid://A001/X12a/X5ae,uid://A001/X110/Xa2_3,uid://A001/X110/Xa2
202,uid://A001/X12a/X1255,uid://A001/X112/X414_5,uid://A001/X112/X414
203,uid://A001/X12a/Xec5,uid://A001/X10d/X5c_6,uid://A001/X10d/X5c
